planar,macroscopic,gradient
4.556053187347003,4.55631380352121,-1.2023124371651761e-06
4.556051985034566,4.556313825577076,4.6850782764451537e-07
4.556054124362658,4.556313858015015,9.251278698663157e-07
4.556053835290306,4.5563139345540105,1.3870946911076487e-06
4.556056898552041,4.5563140214033915,1.858551786249052e-06
4.556057552393878,4.5563141523860144,2.318959136271559e-06
4.556061536470313,4.556314293782818,2.7749918363184634e-06
4.556063102377551,4.556314479520549,3.2348337688503648e-06
4.556068006137851,4.556314675885851,3.684565146322427e-06
4.5560704715078435,4.556314916942962,4.132196014250411e-06
4.556076270529879,4.55631516884789,4.584155596898398e-06
4.556079639819037,4.556315465698008,5.030070758582639e-06
4.556086330671397,4.556315773604012,5.46738104212352e-06
4.5560905745811215,4.556316126757315,5.896252056381002e-06
4.556098123175509,4.556316491152426,6.321376259776912e-06
4.556103217333641,4.556316901140458,6.7430035879390005e-06
4.556111609182685,4.5563173225952145,7.144876610354345e-06
4.556117507086862,4.556317789930087,7.5510327173233804e-06
4.55612671124812,4.556318268826364,7.953468957211385e-06
4.556133414024776,4.556318793855968,8.342220821688784e-06
4.556143395689763,4.556319330534727,8.711022066787422e-06
4.55615083606891,4.5563199135712305,9.074355405314094e-06
4.556161544400574,4.556320508251947,9.422301212147488e-06
4.556169680671334,4.556321149446864,9.757413089950262e-06
4.556181059226754,4.556321802161825,1.0079134820983882e-05
4.556189838940976,4.556322501358598,1.0395552535236163e-05
4.556201850331824,4.556323211680628,1.0698643127859953e-05
4.556211236227232,4.556323968284339,1.0985082286030234e-05
4.556223820496396,4.556324735535615,1.1250256137795844e-05
4.556233736739507,4.556325548740601,1.1510660922198213e-05
4.556246841818241,4.556326371878244,1.1760222975443213e-05
4.556257257185458,4.556327240405729,1.1999431424936091e-05
4.556270840681091,4.556328117898029,1.2214799665954956e-05
4.55628168678479,4.556329040044112,1.2424547273237607e-05
4.556295689775637,4.556329969976143,1.2614750955819432e-05
4.556306916286702,4.556330943582707,1.2783185538989272e-05
4.556321256146715,4.556331923479689,1.2932644069874044e-05
4.556332781574842,4.556332945734479,1.307949885198667e-05
4.556347415144419,4.556333972365224,1.320988668629397e-05
4.556359201348214,4.556335039593455,1.332482680149738e-05
4.556374064798022,4.556336108923684,1.3420664189744969e-05
4.556386042676594,4.556337216824481,1.3509937340394629e-05
4.556401084672703,4.556338324261922,1.3572099873293553e-05
4.55641318687634,4.556339468030199,1.3621100494187743e-05
4.556428326873691,4.5563406084018,1.3641536511066477e-05
4.556440469949362,4.556341782359309,1.3649755963740517e-05
4.556455626385619,4.556342949484123,1.363364934636735e-05
4.556467737248055,4.5563441470111385,1.3597028539535927e-05
4.556482820442698,4.556345333799088,1.353817122051737e-05
4.556494813590496,4.556346547499437,1.3474915672606613e-05
4.556509770274043,4.5563477462686315,1.3376292745448382e-05
4.556521566175987,4.556348968056179,1.3266556680768815e-05
4.5565363033874045,4.556350170223964,1.3134190306018922e-05
4.556547834556599,4.5563513910509945,1.2993895040835923e-05
4.556562291177486,4.556352587062903,1.282823885606632e-05
4.556573491034311,4.556353797042668,1.2644163665420649e-05
4.556587579504817,4.556354976811384,1.2431177216498668e-05
4.556598353388744,4.556356165592395,1.2205713088686565e-05
4.556611990930994,4.556357318303735,1.1953008561160772e-05
4.5566222594058665,4.556358474723099,1.1686312675340815e-05
4.556635363556345,4.556359588779185,1.140008641664636e-05
4.5566450595787,4.5563607007010205,1.110253506153569e-05
4.556657568626468,4.556361763567901,1.0775383704419994e-05
4.556666610346109,4.5563628183705775,1.0450827885311043e-05
4.556678470282239,4.5563638172644865,1.0103534120897706e-05
4.55668681741435,4.556364801924895,9.737005866483628e-06
4.556697944293972,4.556365723577539,9.344782078368752e-06
4.556705506978507,4.556366624617392,8.956910730439915e-06
4.556715858115433,4.556367455219444,8.54234789526842e-06
4.556722591674298,4.556368258609096,8.122356409678844e-06
4.556732102828252,4.556368983955644,7.673785315631676e-06
4.556737939244929,4.556369675467732,7.227117952979256e-06
4.556746557064158,4.5563702813498335,6.753809487225482e-06
4.556751446863903,4.556370846758362,6.263646572080006e-06
4.556759084357302,4.55637131873008,5.749609471195072e-06
4.556762946082846,4.556371743542876,5.239110778099132e-06
4.556769562578858,4.556372067197042,4.702500573383617e-06
4.556772351083993,4.556372337166105,4.169201340165074e-06
4.556777900981539,4.556372498342622,3.6193191168543137e-06
4.556779589722226,4.556372599535186,3.064340129643739e-06
4.556784029661798,4.556372584509075,2.4785123247106355e-06
4.556784546746876,4.556372503359479,1.8890374207103378e-06
4.556787807736639,4.5563722985564485,1.2720639817054291e-06
4.556787090874839,4.556372021699348,6.601192916733112e-07
4.556789127975223,4.556371614074081,3.557428307487953e-08
4.556787162023405,4.556371128941414,-5.796008131220276e-07
4.556787968773596,4.5563705063212305,-1.2212516100618132e-06
4.556784719520185,4.5563698013148,-1.8546392066554063e-06
4.556784259495183,4.5563689525236235,-2.499254576182608e-06
4.556779721011033,4.556368016845915,-3.1357659895370205e-06
4.556777987963204,4.556366931502132,-3.7882514667408884e-06
4.556772144508099,4.556365755448062,-4.4262129796912575e-06
4.556769135537245,4.5563644244102095,-5.078340385544777e-06
4.556761987827328,4.556362999505538,-5.7178116388278966e-06
4.556757699913967,4.556361414872318,-6.374479336379579e-06
4.5567492388686555,4.556359733839936,-7.012998868738407e-06
4.5567436739162295,4.556357888810157,-7.667354242180124e-06
4.556733904160171,4.556355945614172,-8.29854081541015e-06
4.556727076834599,4.556353834842547,-8.944350494477504e-06
4.556716015459182,4.556351624833412,-9.570262595293144e-06
4.556707936309408,4.556349244183196,-1.0199602008320596e-05
4.5566956162551655,4.556346764041963,-1.0807381235711233e-05
4.556686321546937,4.556344110853203,-1.1435296237483072e-05
4.5566727456626905,4.5563413586444454,-1.2026560617606208e-05
4.556662268425701,4.556338431596119,-1.2613389684279497e-05
4.556647518883322,4.55633540683246,-1.3170694276087858e-05
4.556635927037149,4.556332206044443,-1.3743224505535778e-05
4.556620032434311,4.556328909546931,-1.4305119196755811e-05
4.556607316798756,4.556325436063595,-1.4875478762110816e-05
4.556590281476787,4.556321869120879,-1.5405855451788852e-05
4.556576505087852,4.556318124309184,-1.5945574905362747e-05
4.556558390326976,4.556314288672639,-1.645091575364077e-05
4.556543603256345,4.556310274487735,-1.694188603185154e-05
4.556524506554912,4.556306172571736,-1.7389552565472144e-05
4.556508824151214,4.5563018908455115,-1.7841167395893365e-05
4.5564888242201205,4.556297523659613,-1.8257870217919248e-05
4.556472308410778,4.556292974127796,-1.8683626657356456e-05
4.556451456966806,4.556288340023605,-1.9071260714653704e-05
4.556434165889349,4.556283518858247,-1.9451431489514448e-05
4.556412554103827,4.556278611730765,-1.9773707413683894e-05
4.556394618474521,4.556273509405756,-2.0096182733020385e-05
4.556372361738361,4.556268315811592,-2.036379767123009e-05
4.556353890879179,4.556262913452806,-2.0626402598367122e-05
4.556331108933164,4.556257408271623,-2.084104096011785e-05
4.556312208797259,4.5562516723869235,-2.10507475300048e-05
4.556289007438104,4.556245812511047,-2.1208652281057283e-05
4.556269791492697,4.556239687753554,-2.13600174738815e-05
4.556246287403156,4.556233403529965,-2.1457047830963916e-05
4.556226877397035,4.556226801909399,-2.1552315496720098e-05
4.556203182772163,4.556219983589407,-2.1586416151020416e-05
4.556183704564733,4.556212767767078,-2.1619129655370273e-05
4.556159944512852,4.556205245317265,-2.159824397374166e-05
4.556140508076785,4.556197204801172,-2.15644231511547e-05
4.55611681566655,4.556188719955965,-2.1471993000066192e-05
4.556097564090785,4.556179537594481,-2.1369549441541125e-05
4.556074076567667,4.556169702961166,-2.1202518638574475e-05
4.556055159053508,4.556158904536132,-2.1038267889128548e-05
4.556032000031888,4.5561471414273305,-2.0813620662973875e-05
4.556013531812182,4.556134019608788,-2.0587082222967013e-05
4.555990825867442,4.556119465708491,-2.0301063393457497e-05
4.555972929685395,4.556102970219833,-2.00105929208938e-05
4.555950804681601,4.556084353883898,-1.9655757381276118e-05
4.5559336181706325,4.5560629334308285,-1.9294945041714584e-05
4.555912214791517,4.556038362358755,-1.8865394340483732e-05
4.5558958873819515,4.5560097195140585,-1.843591777728193e-05
4.555875342955963,4.555976405962161,-1.7939793224286404e-05
4.555860007795503,4.555937148485161,-1.7435388615982816e-05
4.555840472178731,4.555890970189487,-1.6856608051174504e-05
4.555826294579401,4.555836085424559,-1.628533595354753e-05
4.555807901506824,4.555770954128975,-1.5658658497397226e-05
4.555794977262406,4.555693042170329,-1.5037897480585372e-05
4.555777825711862,4.555599968251372,-1.4352137723161462e-05
4.5557662729869595,4.55548809517856,-1.367122869844195e-05
4.5557504832544655,4.555353780290167,-1.2911718176855658e-05
4.555740449550606,4.555191753363549,-1.215895505524145e-05
4.555726165344355,4.554996484452221,-1.1341924521346414e-05
4.555717765701563,4.554760286711006,-1.0535110108289558e-05
4.5557050951241385,4.554474815118962,-9.66799843737931e-06
4.555698429704688,4.554128801235684,-8.823378666811266e-06
4.555687448366805,4.5537096931838414,-7.91471104966135e-06
4.555682600282589,4.55320088949037,-7.017160363442798e-06
4.555673414046078,4.5525835424418375,-6.059905979238778e-06
4.5556704804706305,4.551833105055641,-5.121013297415544e-06
4.555663172019483,4.550921346294954,-4.116502741791095e-06
4.555662247465147,4.549811937423656,-3.153168111946769e-06
4.555656865683259,4.548462765334713,-2.1367270082173206e-06
4.5556579740111305,4.546820110864704,-1.1452975772208163e-06
4.555654575088105,4.544821453257005,-1.0240690428986454e-07
4.555657769197322,4.542387504598481,9.142798957917364e-07
4.555656403647896,4.539426038955301,2.0020297983869284e-06
4.555661773256919,4.53582052956938,3.0481727830711236e-06
4.5556624999934625,4.531436221346383,4.145947130940186e-06
4.555670065151181,4.526108390209288,5.199735283678564e-06
4.55567289946403,4.519741054355383,6.2956838000616244e-06
4.555682656518781,4.512122114876213,7.329532957012219e-06
4.555687558529944,4.502781409502539,8.422801483831677e-06
4.555699502121748,4.491127690940077,9.457289062098084e-06
4.555706473108068,4.476564468989384,1.0535799777500188e-05
4.555720573721303,4.45859987687334,1.1563826338711891e-05
4.5557296007607455,4.436889369115507,1.264044038595813e-05
4.555745854602075,4.411258808534699,1.3641546508846858e-05
4.555756883853763,4.381691618475068,1.4689514603372089e-05
4.555775233631282,4.348303971819657,1.566409167708116e-05
4.555788212037117,4.311316508255199,1.667315709408257e-05
4.55580857994547,4.271067336614742,1.7602593892718232e-05
4.555823417224903,4.228003768128506,1.8570533912409815e-05
4.555845721013295,4.1826635002183865,1.9453727169160828e-05
4.555862324679241,4.135634013190031,2.0370094437005548e-05
4.555886461202169,4.087530559963383,2.1193146269027352e-05
4.555904710971779,4.038968535307776,2.2053600733151768e-05
4.555930568403635,3.9905507016594735,2.282141337772714e-05
4.555950353798535,3.9428423525225553,2.3619412420128327e-05
4.555977807228476,3.8963589988635916,2.4299472336508643e-05
4.555998952743208,3.8515395000732475,2.501206535443501e-05
4.556027831359184,3.8087279100424034,2.5611532047165042e-05
4.556050175807302,3.7681407318618017,2.623265473511438e-05
4.556080296668655,3.7298503764782347,2.673622020088473e-05
4.556103648247704,3.6937643088445293,2.728067914548049e-05
4.556134858026946,3.6596388994881845,2.7703159039660363e-05
4.556159054565783,3.6271083324451445,2.8143035745831213e-05
4.556191144098437,3.5957738991105574,2.844990715944462e-05
4.556215954380102,3.5653123293431093,2.8782753476175316e-05
4.55624870960539,3.5356176092442553,2.8977580867728392e-05
4.556273909541837,3.506771381979844,2.920618247737039e-05
4.556307121970344,3.4787906366049826,2.9294477359442794e-05
4.556332498496556,3.45166202496257,2.9412555723862255e-05
4.556365947081792,3.4253782127750396,2.9382608578210068e-05
4.556391263713713,3.39990750552802,2.9381437245401543e-05
4.556424709956283,3.3752012728715224,2.9217359438948876e-05
4.556449698432591,3.3511604885134214,2.9082494562349126e-05
4.556482874945408,3.3276534244950016,2.8794954733957212e-05
4.5565072883420585,3.304465480024586,2.8539768877511307e-05
4.556539954483163,3.2814435507534374,2.8133631011506566e-05
4.5565635556040816,3.2581695961141977,2.7770402312388143e-05
4.556595495287787,3.233724568687514,2.7234624538685637e-05
4.556618024853159,3.207097708862571,2.672976929263271e-05
4.556648954826373,3.1774917774530165,2.6045224314152904e-05
4.556670115301787,3.1445513416933153,2.540218725988197e-05
4.556699759200892,3.1083464388745528,2.458087952694754e-05
4.556719277060841,3.0692875059927722,2.3824474951528174e-05
4.5567474081507955,3.0279648871450484,2.289582378844912e-05
4.556765068708418,2.985037379020341,2.2013357223293895e-05
4.556791434865242,2.941110428084962,2.094665669671869e-05
4.5568069620218115,2.8967236626838226,1.993145379497463e-05
4.556831297772832,2.852387662010064,1.871797517516427e-05
4.556844397972162,2.808675618443832,1.7591124299443095e-05
4.556866480021431,2.766263202619503,1.6285552503436662e-05
4.556876969077169,2.72592945387616,1.5048040990173206e-05
4.556896576103411,2.688443241329598,1.3617530643994513e-05
4.556904204138457,2.654419686092119,1.2291145648379853e-05
4.556921158394708,2.6241283802500233,1.076017603685031e-05
4.55692572449053,2.5973996981972753,9.310559054842571e-06
4.556939779512818,2.5736162863600067,7.671967490185949e-06
4.556941068425511,2.551935103892333,6.149640179753391e-06
4.556952078793177,2.5315824417662482,4.434490703975058e-06
4.556949937406919,2.5122788730422037,2.8460793841667e-06
4.5569577709519455,2.494060064552578,1.0582419012195032e-06
4.556952053890721,2.476853477918965,-5.977012431657158e-07
4.556956575549459,2.460634651026844,-2.4444821433711184e-06
4.556947164926434,2.4453942490506995,-4.133619913915254e-06
4.556948308309631,2.431143420411827,-6.024759087619458e-06
4.556935115408259,2.417887282180176,-7.751705182634794e-06
4.556932804899266,2.405629279973404,-9.680770631792512e-06
4.5569157538669955,2.3943554855779356,-1.1427158322252495e-05
