Sn_index,Sn_c_coord,Sn-O_bond_distance
1,0.2100387436491715,2.0457038057917485
2,0.2060037650696884,2.0948271465001906
3,0.2492069835397643,2.079541409874361
4,0.2511951924302025,2.064845868618795
5,0.2923503778508376,2.066482501142069
6,0.2913132576020985,2.075042945848576
7,0.3331770417083746,2.0728186129575703
8,0.3337399273041655,2.0678196739926116
9,0.3752376590601827,2.068905623083493
10,0.3749379095001686,2.07163169555367
11,0.4166369356443411,2.071180157228852
12,0.4167917722879722,2.0695362118067995
13,0.4583855005882711,2.069937703647286
14,0.4583225464875156,2.071015956682844
15,0.5,2.0709685509212243
16,0.5,2.070148595773031
17,0.5416144994117289,2.069937703647286
18,0.5416774535124844,2.071015956682844
19,0.5833630643556589,2.071180157228851
20,0.5832082277120278,2.0695362118067995
21,0.6247623409398173,2.068905623083493
22,0.6250620904998314,2.071631695553671
23,0.6668229582916254,2.0728186129575707
24,0.6662600726958345,2.0678196739926094
25,0.7076496221491624,2.0664825011420693
26,0.7086867423979015,2.0750429458485784
27,0.7507930164602357,2.0795414098743605
28,0.7488048075697975,2.064845868618796
29,0.7899612563508285,2.0457038057917494
30,0.7939962349303187,2.09482714650021
