Ti_index,Ti_c_coord,Ti-O_bond_distance,Ag_index,Ag_c_coord,Ag-S_bond_distance
61.0,0.0681030875796206,1.916911880506457,,,
62.0,0.0252635546442729,1.831824477571511,,,
63.0,0.0681030875796206,1.9169083745252717,,,
64.0,0.0252635546442729,1.8318246747061484,,,
65.0,0.0670911382784485,1.949403948502379,,,
66.0,0.0274029866843566,1.8536182100969603,,,
67.0,0.0670911382784485,1.9494047945501796,,,
68.0,0.0274029866843566,1.8536169956788153,,,
69.0,0.1597380795356611,1.9207393395777164,,,
70.0,0.112988918464349,1.92074025988377,,,
71.0,0.1597380795356611,1.9207358168989248,,,
72.0,0.112988918464349,1.9207404377280817,,,
73.0,0.1570764574584732,1.946487346389798,,,
74.0,0.1156505405415303,1.9464880762183383,,,
75.0,0.1570764574584732,1.9464882265697485,,,
76.0,0.1156505405415303,1.9464871008368438,,,
77.0,0.2474634453557233,1.8318231110180236,,,
78.0,0.2046239174203727,1.9169129662603523,,,
79.0,0.2474634453557233,1.8318187220795825,,,
80.0,0.2046239174203727,1.9169123199134828,,,
81.0,0.2453240133156464,1.8536172518932466,,,
82.0,0.2056358667215442,1.9494051268613317,,,
83.0,0.2453240133156464,1.8536179607963454,,,
84.0,0.2056358667215442,1.9494036001757704,,,
,,,85.0,0.070722471550218,2.5000785206767233
,,,86.0,0.0293192020381293,2.4582880916529177
,,,87.0,0.0293192020381293,2.4582931571574185
,,,88.0,0.070722471550218,2.5000783249397562
,,,89.0,0.163498286393472,2.502381954590109
,,,90.0,0.1092287116065241,2.502374974353171
,,,91.0,0.1092287116065241,2.5023779702108104
,,,92.0,0.163498286393472,2.5023817231482433
,,,93.0,0.2434077979618743,2.4582972200604343
,,,94.0,0.2020045334497751,2.500071605352536
,,,95.0,0.2020045334497751,2.500074804656956
,,,96.0,0.2434077979618743,2.458296969786225
